City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kiunga,-6.1219,141.2906,306.62,47,60,1.96,PG,1706492130
1,iqaluit,63.7506,-68.5145,237.0,61,20,5.66,CA,1706492131
2,nuuk,64.1835,-51.7216,249.04,95,27,4.75,GL,1706492040
3,east ballina,-28.8667,153.5833,301.37,90,100,5.68,AU,1706492134
4,blackmans bay,-43.0167,147.3167,298.22,67,86,3.63,AU,1706492135
5,anadyr,64.75,177.4833,241.48,74,0,4.0,RU,1706492135
6,port lincoln,-34.7333,135.8667,295.57,56,0,5.61,AU,1706492137
7,mahina,-17.5065,-149.489,305.02,66,20,1.54,PF,1706492138
8,port macquarie,-31.4333,152.9167,299.2,76,100,4.5,AU,1706492138
9,san luis de la loma,17.2706,-100.8939,298.88,69,97,3.22,MX,1706492139
10,essaouira,31.5125,-9.77,288.87,31,0,2.06,MA,1706492140
11,saudarkrokur,65.7461,-19.6394,266.35,88,83,4.74,IS,1706491509
12,albany,42.6001,-73.9662,274.06,84,100,2.53,US,1706491948
13,qaqortoq,60.7167,-46.0333,246.38,67,3,2.78,GL,1706492143
14,governador valadares,-18.8511,-41.9494,295.41,96,100,0.6,BR,1706492144
15,washington,47.5001,-120.5015,277.92,87,100,0.42,US,1706492043
16,hawaiian paradise park,19.5933,-154.9731,301.98,78,20,7.2,US,1706492145
17,ancud,-41.8697,-73.8203,284.47,78,0,2.13,CL,1706492146
18,longyearbyen,78.2186,15.6401,262.06,79,0,5.14,SJ,1706492147
19,huarmey,-10.0681,-78.1522,297.47,81,100,2.9,PE,1706492148
20,thompson,55.7435,-97.8558,262.24,92,100,2.06,CA,1706492149
21,constantia,44.1833,28.65,273.54,81,98,8.76,RO,1706492005
22,lakatoro,-16.0999,167.4164,301.1,70,100,2.84,VU,1706492151
23,port-aux-francais,-49.35,70.2167,277.95,69,90,14.41,TF,1706491888
24,olonkinbyen,70.9221,-8.7187,270.01,68,100,9.52,SJ,1706492152
25,quepos,9.4236,-84.1652,299.58,82,87,1.01,CR,1706492153
26,alofi,-19.0595,-169.9187,302.09,70,55,4.12,NU,1706492154
27,ilulissat,69.2167,-51.1,251.16,49,100,4.63,GL,1706492155
28,kavaratti,10.5669,72.642,300.39,71,28,3.99,IN,1706491926
29,kotabumi,-4.8333,104.9,299.81,81,92,4.51,ID,1706492156
30,edinburgh of the seven seas,-37.0676,-12.3116,289.64,79,93,9.24,SH,1706492157
31,lionel town,17.8101,-77.2406,300.09,84,3,1.36,JM,1706492158
32,tumen,42.9661,129.8425,267.06,63,4,1.56,CN,1706492159
33,hammerfest,70.6634,23.6821,277.4,75,20,8.75,NO,1706492160
34,tobelo,1.7284,128.0095,301.27,77,23,1.19,ID,1706492128
35,puerto natales,-51.7236,-72.4875,282.95,86,100,1.86,CL,1706492162
36,klyuchi,52.2667,79.1667,252.75,99,84,2.35,RU,1706492162
37,newport,51.5877,-2.9984,284.88,94,98,2.14,GB,1706491900
38,jamestown,42.097,-79.2353,273.92,99,100,4.12,US,1706492096
39,bredasdorp,-34.5322,20.0403,292.09,81,100,1.33,ZA,1706492056
40,bairnsdale,-37.8333,147.6167,303.74,44,0,0.89,AU,1706492166
41,marcala,14.15,-88.0333,289.89,91,3,3.25,HN,1706492167
42,sabang,5.8933,95.3214,300.51,79,26,9.05,ID,1706492169
43,stanley,54.868,-1.6985,281.88,86,75,4.63,GB,1706491892
44,ksar el boukhari,35.8889,2.7491,284.12,59,71,2.15,DZ,1706492170
45,south hedland,-20.4089,118.5983,303.11,66,40,7.2,AU,1706492171
46,margaret river,-33.95,115.0667,293.1,48,0,3.03,AU,1706492172
47,broken hill,-31.95,141.4333,305.8,17,0,2.97,AU,1706492173
48,afaahiti,-17.75,-149.2833,304.08,78,87,2.13,PF,1706492174
